ID,vtaline,lineabbr,commentid,linename,RouteServiceType,SignId,LineId,LineDirId,DirNum,DirectionName
ID46,46SOUTH,46,0,GREAT MALL - MILPITAS HIGH SCHOOL,Local,202,18304,183041,1,SOUTH
ID47,47NORTH,47,0,GREAT MALL - MCCARTHY RANCH,Local,202,18305,183050,0,NORTH
ID47,47SOUTH,47,0,GREAT MALL - MCCARTHY RANCH,Local,202,18305,183051,1,SOUTH
ID48,48NORTH,48,0,LOS GATOS - WINCHESTER LRT,Community Bus,202,18306,183060,0,NORTH
ID48,48SOUTH,48,0,LOS GATOS - WINCHESTER LRT,Community Bus,202,18306,183061,1,SOUTH
ID49,49NORTH,49,0,LOS GATOS - WINCHESTER LRT,Community Bus,202,18307,183070,0,NORTH
ID49,49SOUTH,49,0,LOS GATOS - WINCHESTER LRT,Community Bus,202,18307,183071,1,SOUTH
ID52,52NORTH,52,0,FOOTHILL COLLEGE - DWNTOWN MTN VIEW,Local,202,18308,183080,0,NORTH
ID52,52SOUTH,52,0,FOOTHILL COLLEGE - DWNTOWN MTN VIEW,Local,202,18308,183081,1,SOUTH
ID53,53NORTH,53,0,WV COLLEGE- SUNNYVALE TRANS CTR   ,Local,202,18309,183090,0,NORTH
ID53,53SOUTH,53,0,WV COLLEGE- SUNNYVALE TRANS CTR   ,Local,202,18309,183091,1,SOUTH
ID54,54NORTH,54,0,DE ANZA COLLEGE - LOCKHEED  ,Local,202,18310,183100,0,NORTH
ID54,54SOUTH,54,0,DE ANZA COLLEGE - LOCKHEED  ,Local,202,18310,183101,1,SOUTH
ID55,55NORTH,55,0,DE ANZA COLLEGE - GREAT AMERICA ,Core,202,18311,183110,0,NORTH
ID55,55SOUTH,55,0,DE ANZA COLLEGE - GREAT AMERICA ,Core,202,18311,183111,1,SOUTH
ID57,57NORTH,57,0,WEST VALLEY COLL - GREAT AMERICA,Local,202,18312,183120,0,NORTH
ID57,57SOUTH,57,0,WEST VALLEY COLL - GREAT AMERICA,Local,202,18312,183121,1,SOUTH
ID58,58NORTH,58,0,WEST VALLEY COLLEGE - ALVISO    ,Local,202,18313,183130,0,NORTH
ID58,58SOUTH,58,0,WEST VALLEY COLLEGE - ALVISO    ,Local,202,18313,183131,1,SOUTH
ID60,60NORTH,60,0,WINCHESTER  TC - GT AMERICA       ,Core,202,18314,183140,0,NORTH
ID60,60SOUTH,60,0,WINCHESTER  TC - GT AMERICA       ,Core,202,18314,183141,1,SOUTH
ID61,61NORTH,61,0,GOOD SAM HOSP - SIERRA & PIEDMONT,Core,202,18315,183150,0,NORTH
